"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2018년 11월 28일","96.79","97.37","97.54","96.69","-","-0.60%"
"2018년 11월 27일","97.37","97.03","97.50","96.97","-","0.31%"
"2018년 11월 26일","97.07","96.93","97.10","96.66","-","0.15%"
"2018년 11월 23일","96.92","96.51","96.98","96.40","-","0.22%"
"2018년 11월 22일","96.71","96.72","96.72","96.32","-","0.00%"
"2018년 11월 21일","96.71","96.82","96.87","96.50","-","-0.13%"
"2018년 11월 20일","96.84","96.20","96.89","96.04","-","0.68%"
"2018년 11월 19일","96.19","96.43","96.57","96.12","-","-0.29%"
"2018년 11월 16일","96.47","97.05","97.06","96.40","-","-0.47%"
"2018년 11월 15일","96.93","97.01","97.39","96.77","-","0.13%"
"2018년 11월 14일","96.80","97.03","97.41","96.75","-","-0.51%"
"2018년 11월 13일","97.30","97.60","97.66","96.94","-","-0.25%"
"2018년 11월 12일","97.54","97.05","97.69","96.97","-","0.65%"
"2018년 11월 09일","96.91","96.63","97.01","96.62","-","0.20%"
"2018년 11월 08일","96.72","96.19","96.74","96.07","-","0.75%"
"2018년 11월 07일","96.00","95.99","96.46","95.68","-","-0.33%"
"2018년 11월 06일","96.32","96.33","96.45","96.14","-","0.04%"
"2018년 11월 05일","96.28","96.44","96.68","96.25","-","-0.27%"
"2018년 11월 02일","96.54","96.31","96.59","95.99","-","0.27%"
"2018년 11월 01일","96.28","97.08","97.11","96.20","-","-0.88%"
"2018년 10월 31일","97.13","96.99","97.20","96.88","-","0.12%"
"2018년 10월 30일","97.01","96.66","97.02","96.62","-","0.45%"
"2018년 10월 29일","96.58","96.44","96.70","96.35","-","0.23%"
"2018년 10월 26일","96.36","96.59","96.86","96.29","-","-0.33%"
"2018년 10월 25일","96.68","96.36","96.73","96.21","-","0.26%"
"2018년 10월 24일","96.43","95.92","96.53","95.91","-","0.49%"
"2018년 10월 23일","95.96","96.03","96.16","95.81","-","-0.05%"
"2018년 10월 22일","96.01","95.66","96.09","95.47","-","0.31%"
"2018년 10월 19일","95.71","95.95","96.09","95.54","-","-0.20%"
"2018년 10월 18일","95.90","95.66","95.99","95.49","-","0.33%"
"2018년 10월 17일","95.58","95.09","95.66","95.06","-","0.56%"
"2018년 10월 16일","95.05","95.05","95.20","94.79","-","-0.01%"
"2018년 10월 15일","95.06","95.35","95.37","94.95","-","-0.17%"
"2018년 10월 12일","95.22","95.04","95.37","94.95","-","0.21%"
"2018년 10월 11일","95.02","95.43","95.43","94.99","-","-0.51%"
"2018년 10월 10일","95.51","95.59","95.79","95.38","-","-0.17%"
"2018년 10월 09일","95.67","95.75","96.16","95.64","-","-0.09%"
"2018년 10월 08일","95.76","95.62","96.03","95.59","-","0.15%"
"2018년 10월 05일","95.62","95.76","95.94","95.52","-","-0.14%"
"2018년 10월 04일","95.75","96.05","96.12","95.55","-","-0.01%"
"2018년 10월 03일","95.76","95.46","96.12","95.26","-","0.26%"
"2018년 10월 02일","95.51","95.30","95.74","95.26","-","0.22%"
"2018년 10월 01일","95.30","95.11","95.37","95.00","-","0.18%"
"2018년 09월 28일","95.13","95.02","95.37","94.92","-","0.25%"
"2018년 09월 27일","94.89","94.25","95.01","94.21","-","0.74%"
"2018년 09월 26일","94.19","94.17","94.40","93.95","-","0.06%"
"2018년 09월 25일","94.13","94.25","94.37","94.01","-","-0.06%"
"2018년 09월 24일","94.19","94.23","94.37","93.84","-","-0.03%"
"2018년 09월 21일","94.22","93.89","94.33","93.81","-","0.33%"
"2018년 09월 20일","93.91","94.55","94.56","93.83","-","-0.67%"
"2018년 09월 19일","94.54","94.54","94.73","94.32","-","-0.11%"
"2018년 09월 18일","94.64","94.61","94.73","94.31","-","0.15%"
"2018년 09월 17일","94.50","94.93","94.98","94.44","-","-0.45%"
"2018년 09월 14일","94.93","94.55","95.00","94.36","-","0.43%"
"2018년 09월 13일","94.52","94.83","94.97","94.43","-","-0.30%"
"2018년 09월 12일","94.80","95.10","95.28","94.73","-","-0.47%"
"2018년 09월 11일","95.25","95.15","95.35","94.88","-","0.11%"
"2018년 09월 10일","95.15","95.43","95.56","95.03","-","-0.22%"
"2018년 09월 07일","95.36","95.02","95.46","94.87","-","0.36%"
"2018년 09월 06일","95.02","95.10","95.21","94.93","-","-0.17%"
"2018년 09월 05일","95.18","95.40","95.66","95.08","-","-0.27%"
"2018년 09월 04일","95.44","95.14","95.74","95.14","-","0.32%"
"2018년 09월 03일","95.14","95.19","95.22","95.01","-","0.00%"
"2018년 08월 31일","95.14","94.70","95.22","94.55","-","0.44%"
"2018년 08월 30일","94.72","94.53","94.90","94.47","-","0.13%"
"2018년 08월 29일","94.60","94.73","94.93","94.53","-","-0.13%"
"2018년 08월 28일","94.72","94.77","94.91","94.43","-","-0.06%"
"2018년 08월 27일","94.78","95.17","95.30","94.69","-","-0.39%"
"2018년 08월 24일","95.15","95.64","95.69","95.03","-","-0.54%"
"2018년 08월 23일","95.67","95.17","95.71","95.15","-","0.55%"
"2018년 08월 22일","95.15","95.21","95.38","94.93","-","-0.12%"
"2018년 08월 21일","95.26","95.74","95.75","95.08","-","-0.67%"
"2018년 08월 20일","95.90","96.13","96.40","95.73","-","-0.21%"
"2018년 08월 17일","96.10","96.61","96.66","96.09","-","-0.56%"
"2018년 08월 16일","96.64","96.72","96.77","96.32","-","-0.06%"
"2018년 08월 15일","96.70","96.66","96.98","96.65","-","-0.03%"
"2018년 08월 14일","96.73","96.33","96.79","96.14","-","0.35%"
"2018년 08월 13일","96.39","96.32","96.52","96.16","-","0.03%"
"2018년 08월 10일","96.36","95.64","96.45","95.53","-","0.90%"
"2018년 08월 09일","95.50","95.10","95.62","95.03","-","0.47%"
"2018년 08월 08일","95.05","95.14","95.42","94.99","-","-0.18%"
"2018년 08월 07일","95.22","95.34","95.37","94.99","-","-0.15%"
"2018년 08월 06일","95.36","95.20","95.52","95.20","-","0.23%"
"2018년 08월 03일","95.14","95.18","95.37","94.98","-","-0.02%"
"2018년 08월 02일","95.16","94.63","95.19","94.61","-","0.57%"
"2018년 08월 01일","94.62","94.56","94.71","94.49","-","0.14%"
"2018년 07월 31일","94.49","94.33","94.57","94.16","-","0.18%"
"2018년 07월 30일","94.32","94.66","94.76","94.26","-","-0.37%"
"2018년 07월 27일","94.67","94.76","94.91","94.63","-","-0.08%"
"2018년 07월 26일","94.75","94.16","94.80","94.08","-","0.41%"
"2018년 07월 25일","94.36","94.59","94.67","94.14","-","-0.26%"
"2018년 07월 24일","94.61","94.67","94.86","94.40","-","-0.06%"
"2018년 07월 23일","94.67","94.43","94.72","94.21","-","0.23%"
"2018년 07월 20일","94.45","95.13","95.28","94.36","-","-0.74%"
"2018년 07월 19일","95.15","95.08","95.65","94.93","-","0.07%"
"2018년 07월 18일","95.08","95.03","95.41","94.96","-","0.15%"
"2018년 07월 17일","94.94","94.55","95.06","94.30","-","0.45%"
